[Cyc:0000043871 F:0000] PC:0x00d87c | C8          | INY          | A:0x007f | X:0x0000 | Y:0x0003 | SP:0xfb | P:0x05 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043872 F:0000] PC:0x00d87d | 8D 42 21    | STA abs      | A:0x007f | X:0x0000 | Y:0x0004 | SP:0xfb | P:0x05 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043873 F:0000] PC:0x00d880 | E2 20       | SEP          | A:0x007f | X:0x0000 | Y:0x0004 | SP:0xfb | P:0x05 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043874 F:0000] PC:0x00d882 | E0 01 00    | CPX #        | A:0x007f | X:0x0000 | Y:0x0004 | SP:0xfb | P:0x25 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043875 F:0000] PC:0x00d885 | A9 00       | LDA #        | A:0x007f | X:0x0000 | Y:0x0004 | SP:0xfb | P:0xa4 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043876 F:0000] PC:0x00d887 | 2A          | ROL A        | A:0x0000 | X:0x0000 | Y:0x0004 | SP:0xfb | P:0x26 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043877 F:0000] PC:0x00d888 | 8D 41 21    | STA abs      | A:0x0000 | X:0x0000 | Y:0x0004 | SP:0xfb | P:0x26 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043878 F:0000] PC:0x00d88b | 69 7F       | ADC #        | A:0x0000 | X:0x0000 | Y:0x0004 | SP:0xfb | P:0x26 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043879 F:0000] PC:0x00d88d | 68          | PLA          | A:0x007f | X:0x0000 | Y:0x0004 | SP:0xfb | P:0x24 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043880 F:0000] PC:0x00d88e | 8D 40 21    | STA abs      | A:0x00cc | X:0x0000 | Y:0x0004 | SP:0xfc | P:0xa4 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043881 F:0000] PC:0x00d891 | CD 40 21    | CMP abs      | A:0x00cc | X:0x0000 | Y:0x0004 | SP:0xfc | P:0xa4 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043882 F:0000] PC:0x00d894 | D0 FB       | BNE          | A:0x00cc | X:0x0000 | Y:0x0004 | SP:0xfc | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043883 F:0000] PC:0x00d896 | 70 B3       | BVS          | A:0x00cc | X:0x0000 | Y:0x0004 | SP:0xfc | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043884 F:0000] PC:0x00d898 | 28          | PLP          | A:0x00cc | X:0x0000 | Y:0x0004 | SP:0xfc | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043885 F:0000] PC:0x00d899 | 60          | RTS          | A:0x00cc | X:0x0000 | Y:0x0004 | SP:0xfd | P:0x15 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0




[Cyc:0000043886 F:0000] PC:0x00804f | E2 30       | SEP          | A:0x00cc | X:0x0000 | Y:0x0004 | SP:0xff | P:0x15 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043887 F:0000] PC:0x008051 | A9 8F       | LDA #        | A:0x00cc | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043888 F:0000] PC:0x008053 | 8D 00 21    | STA abs      | A:0x008f | X:0x0000 | Y:0x0004 | SP:0xff | P:0xb5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043889 F:0000] PC:0x008056 | A9 03       | LDA #        | A:0x008f | X:0x0000 | Y:0x0004 | SP:0xff | P:0xb5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043890 F:0000] PC:0x008058 | 8D 01 21    | STA abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043891 F:0000] PC:0x00805b | 9C 02 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043892 F:0000] PC:0x00805e | 9C 03 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043893 F:0000] PC:0x008061 | 9C 05 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043894 F:0000] PC:0x008064 | 9C 06 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043895 F:0000] PC:0x008067 | 9C 07 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043896 F:0000] PC:0x00806a | 9C 08 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043897 F:0000] PC:0x00806d | 9C 09 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043898 F:0000] PC:0x008070 | 9C 0A 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043899 F:0000] PC:0x008073 | 9C 0B 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043900 F:0000] PC:0x008076 | 9C 0C 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043901 F:0000] PC:0x008079 | 9C 0D 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043902 F:0000] PC:0x00807c | 9C 0D 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043903 F:0000] PC:0x00807f | 9C 0E 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043904 F:0000] PC:0x008082 | 9C 0E 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043905 F:0000] PC:0x008085 | 9C 0F 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043906 F:0000] PC:0x008088 | 9C 0F 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043907 F:0000] PC:0x00808b | 9C 10 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043908 F:0000] PC:0x00808e | 9C 10 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043909 F:0000] PC:0x008091 | 9C 11 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043910 F:0000] PC:0x008094 | 9C 11 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043911 F:0000] PC:0x008097 | 9C 12 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043912 F:0000] PC:0x00809a | 9C 12 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043913 F:0000] PC:0x00809d | 9C 13 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043914 F:0000] PC:0x0080a0 | 9C 13 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043915 F:0000] PC:0x0080a3 | 9C 14 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043916 F:0000] PC:0x0080a6 | 9C 14 21    | STZ abs      | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043917 F:0000] PC:0x0080a9 | A9 80       | LDA #        | A:0x0003 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043918 F:0000] PC:0x0080ab | 8D 15 21    | STA abs      | A:0x0080 | X:0x0000 | Y:0x0004 | SP:0xff | P:0xb5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043919 F:0000] PC:0x0080ae | 9C 16 21    | STZ abs      | A:0x0080 | X:0x0000 | Y:0x0004 | SP:0xff | P:0xb5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043920 F:0000] PC:0x0080b1 | 9C 17 21    | STZ abs      | A:0x0080 | X:0x0000 | Y:0x0004 | SP:0xff | P:0xb5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043921 F:0000] PC:0x0080b4 | 9C 1A 21    | STZ abs      | A:0x0080 | X:0x0000 | Y:0x0004 | SP:0xff | P:0xb5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043922 F:0000] PC:0x0080b7 | A9 01       | LDA #        | A:0x0080 | X:0x0000 | Y:0x0004 | SP:0xff | P:0xb5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043923 F:0000] PC:0x0080b9 | 9C 1B 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043924 F:0000] PC:0x0080bc | 8D 1B 21    | STA abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043925 F:0000] PC:0x0080bf | 9C 1C 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043926 F:0000] PC:0x0080c2 | 9C 1C 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043927 F:0000] PC:0x0080c5 | 9C 1D 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043928 F:0000] PC:0x0080c8 | 9C 1D 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043929 F:0000] PC:0x0080cb | 9C 1E 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043930 F:0000] PC:0x0080ce | 8D 1E 21    | STA abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043931 F:0000] PC:0x0080d1 | 9C 1F 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043932 F:0000] PC:0x0080d4 | 9C 1F 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043933 F:0000] PC:0x0080d7 | 9C 20 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043934 F:0000] PC:0x0080da | 9C 20 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043935 F:0000] PC:0x0080dd | 9C 21 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
[Cyc:0000043936 F:0000] PC:0x0080e0 | 9C 23 21    | STZ abs      | A:0x0001 | X:0x0000 | Y:0x0004 | SP:0xff | P:0x35 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:8 E:0
