CGRAM Dump (512 bytes = 256 colors)
========================================
CGRAM[0ce] = 0x39ce (RGB: 070, 070, 070)
CGRAM[0cf] = 0x3def (RGB: 078, 078, 078)
CGRAM[0d0] = 0x4210 (RGB: 080, 080, 080)
CGRAM[0d1] = 0x4631 (RGB: 088, 088, 088)
CGRAM[0d2] = 0x4a52 (RGB: 090, 090, 090)
CGRAM[0d3] = 0x4e73 (RGB: 098, 098, 098)
CGRAM[0d4] = 0x5294 (RGB: 0a0, 0a0, 0a0)
CGRAM[0d5] = 0x56b5 (RGB: 0a8, 0a8, 0a8)
CGRAM[0d6] = 0x5ad6 (RGB: 0b0, 0b0, 0b0)
CGRAM[0d7] = 0x5ef7 (RGB: 0b8, 0b8, 0b8)
CGRAM[0d8] = 0x6318 (RGB: 0c0, 0c0, 0c0)
CGRAM[0d9] = 0x6739 (RGB: 0c8, 0c8, 0c8)
CGRAM[0da] = 0x6b5a (RGB: 0d0, 0d0, 0d0)
CGRAM[0db] = 0x6f7b (RGB: 0d8, 0d8, 0d8)
CGRAM[0dc] = 0x739c (RGB: 0e0, 0e0, 0e0)
CGRAM[0dd] = 0x77bd (RGB: 0e8, 0e8, 0e8)
CGRAM[0de] = 0x7bde (RGB: 0f0, 0f0, 0f0)
CGRAM[0df] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0e0] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0e1] = 0x0421 (RGB: 008, 008, 008)
CGRAM[0e2] = 0x0842 (RGB: 010, 010, 010)
CGRAM[0e3] = 0x0c63 (RGB: 018, 018, 018)
CGRAM[0e4] = 0x1084 (RGB: 020, 020, 020)
CGRAM[0e5] = 0x14a5 (RGB: 028, 028, 028)
CGRAM[0e6] = 0x18c6 (RGB: 030, 030, 030)
CGRAM[0e7] = 0x1ce7 (RGB: 038, 038, 038)
CGRAM[0e8] = 0x2108 (RGB: 040, 040, 040)
CGRAM[0e9] = 0x2529 (RGB: 048, 048, 048)
CGRAM[0ea] = 0x294a (RGB: 050, 050, 050)
CGRAM[0eb] = 0x2d6b (RGB: 058, 058, 058)
CGRAM[0ec] = 0x318c (RGB: 060, 060, 060)
CGRAM[0ed] = 0x35ad (RGB: 068, 068, 068)
CGRAM[0ee] = 0x39ce (RGB: 070, 070, 070)
CGRAM[0ef] = 0x3def (RGB: 078, 078, 078)
CGRAM[0f0] = 0x4210 (RGB: 080, 080, 080)
CGRAM[0f1] = 0x4631 (RGB: 088, 088, 088)
CGRAM[0f2] = 0x4a52 (RGB: 090, 090, 090)
CGRAM[0f3] = 0x4e73 (RGB: 098, 098, 098)
CGRAM[0f4] = 0x5294 (RGB: 0a0, 0a0, 0a0)
CGRAM[0f5] = 0x56b5 (RGB: 0a8, 0a8, 0a8)
CGRAM[0f6] = 0x5ad6 (RGB: 0b0, 0b0, 0b0)
CGRAM[0f7] = 0x5ef7 (RGB: 0b8, 0b8, 0b8)
CGRAM[0f8] = 0x6318 (RGB: 0c0, 0c0, 0c0)
CGRAM[0f9] = 0x6739 (RGB: 0c8, 0c8, 0c8)
CGRAM[0fa] = 0x6b5a (RGB: 0d0, 0d0, 0d0)
CGRAM[0fb] = 0x6f7b (RGB: 0d8, 0d8, 0d8)
CGRAM[0fc] = 0x739c (RGB: 0e0, 0e0, 0e0)
CGRAM[0fd] = 0x77bd (RGB: 0e8, 0e8, 0e8)
CGRAM[0fe] = 0x7bde (RGB: 0f0, 0f0, 0f0)
CGRAM[0ff] = 0x7fff (RGB: 0f8, 0f8, 0f8)
